name,segment_ids,id,descriptn,part_of
Stephens Creek Nature Park Trail,169695;169915;171221,171221,,""
Southeast Portland Willamette Greenway Trail,168591;172592;172596;172756;172853;174775;175415,168591,,""
Water Line Trail,168607;168784;175472;175669;175923;175977;176062;176673;176674,168607,,""
Nature Trail,168686;169412;174179;174828;175145;175852;176241;177664,168686,,""
158th Service Road,168701;168982;168983;169560;172443,168701,,""
Foothills Park Trail,171280;172898;172904;173412;173489;173677;173838;173841;174139,171280,,""
Peninsula Crossing Trail,165747;165953;166398;166542;166543;166572;167184;167391;168349;168745;168843;168986;169468;169935;169993;170075;170474;170945;171222;171272;171357;171492;172324;172707;174065;174066;174129;176512;176725;176726;176727;176818;176968;180218;180219;180733;181859;181861;181862;181863;181864,168745,,""
Firelane 9,172004;176162;176211;176212;177503;177504,172004,,""
Ellis Street Access,172005;174112,172005,,""
Aspen Trail,172007;174097,172007,,""
Firelane 8,172023;176170,172023,,""
Springwater On The Willamette Art Loop,169761;171296,171296,,""
North Woodland Trail,169018;171327;171497;172373;172389;172390;172597;172949;173168;173408,171327,,""
Wood Parks Trail,171343;173072;177201;178777;178778;179045;179552,171343,,""
Port Center Way Connector,169121;169419;172267,169121,,""
Nebraska St,169158,169158,,""
Springwater On The Willamette Trail - Connector,171415;172961;181579,171415,,""
Tideman Johnson Trail,171462;176450;176451;176630;176632,171462,,""
Northwest Willamette Trail,171490;179578;180739,171490,,""
Raymond Park Trails - Connector,169573;169943,169573,,""
Wilshire Park - Connector,169574;169575;169847;178458,169574,,""
Power House Trail,169719,169719,,""
SE 19th Ave,171626,171626,,""
Woods Creek Trail,169873;175611;175871;176140,169873,,""
Old Cornell,171702;173830;181034;181035,171702,,""
N Bruce Ave - sidewalk,169995,169995,,""
Creek Trail,171778;171812;172953;173328;173442;173508;176278;176341;176535;177475;177718,171778,,""
Sunnyside Trail,171793;175913;176075,171793,,""
Gasline Trail,173648;176242;177610;177701;177835;177881;177882;178298,177610,,""
Connor Trail,171972;174023,171972,,""
Lower Macleay Trail,172284;172285;173080;176280;176903;176981;178567;178568;178733,172284,,""
Old Holgate Trail,172311;175609;176057;176061;176840;178227,172311,,""
Hemlock Trail,172312;175587;177015;177039;177040;178058;178231,172312,,""
Alder Ridge Trail,173224;177042;177043;177116;177360;177361;177424;177703;177704;177705;177706;178122,177703,,""
Port of Portland Trail,172531;172916;172917;176672;176965;176966;176967,172531,,""
Firelane 10,172559;173905;173906;174401;175126;175773;175775;176059;176394;176395,172559,,""
Duniway Park Track,177760;178611,177760,,""
Pioneer Orchard Trail,173615;173714;174603;176053;177830;177877;177878,177830,,""
Service Road,173020;174385;174924;176014;176749;176776;177831,177831,,""
SW Knight Blvd.,172807;172808;174546,172807,,""
Fairview Trail,175783;176210;176524;177879;177880,177879,,""
Beech Trail,173021;173833;176272,173021,,""
Linnton Park Trail,173022;176768,173022,,""
Goldfinch Trail,173094;173500;174379;174903;174921;174989;175772;175781;178297,173094,,""
Old Firelane 7,173095,173095,,""
Terwilliger Trail Access,173200;177971;179474;179475,177971,,""
Ridge Trail,170512;172105;173614;174601;174630;175757;176245;176889;176890;177339;177990,177990,,""
Tye Trail,173183;178229,173183,,""
BPA Offshoot,173184;174105;174850;175755;176054;176160;176253;176275;176276,173184,,""
Black-tailed Deer Trail,173186;174389;174973;176165;176166,173186,,""
Himalayan Pine Trail,173187;176244,173187,,""
Japanese Garden Trail,173223,173223,,""
Spruce Trail,173241;174890;174978;174988;175087,173241,,""
Lents Park Trails - Connector,173424;178546,173424,,""
Firelane 4,173818;174975;175750;176344;176750;178106;178201;178222,178106,,""
Firelane 15,173499;173509;174025;174474;174889,173499,,""
Little Trail,173640;174174,173640,,""
Stairway Trail,173647;176077,173647,,""
Fir Trail,173653;174244;174367;174851;174886;174902;175009;175539;175808;176270,173653,,""
Pier Park - connector,174548;174715;176345;178198;181352,178198,,""
Waterfront Park Connector,173752;181808;181810;181848,173752,,""
Alder Trail,173819;174024,173819,,""
Redwood Trail,173820;174382;175787;176025;176171,173820,,""
Anderegg Trail,174186;174245;175754;176078;176127;178233,178233,,""
148th Entry Trail,173893;174450;174492;174559,173893,,""
Orchard Loop Trail,173945;174092;174170;174386;174831;174854;175276;175405;175510;175541;175782;176385;176682;178296,173945,,""
Mt. Hood Trail,174021;174384;174829;174892;177264,174021,,""
Cougar Trail,174022;174805;176794;176795,174022,,""
Tabor Summit Dr,175880;176232;178290;178974,178290,,""
Hawthorn Trail,174108;174631;174827,174108,,""
Koenig Trail,174113;176747,174113,,""
Birch Trail,174180;176277,174180,,""
Upper Marquam Hill Trail,174206;174207;174208;176646;176647;176648;176649;176677;176678;176679;176683;176684;176685,174206,,""
Woodlawn Park Trails,165764;165877;165878;167079;167080;167081;167082;167083;167084;168898;169225;169562;169564;169568;170622;171021;171422;172496;172497;173585;173586;173705;173866;173991;174059;174210;174253;174533;175886;176379;176419;177076;177417;177540;178676;179130;179173;179286;179473;179614;180513,174210,,""
Upper Macleay Trail,174211;175895;176194;176334;176414;176603;176655,174211,,""
Newton Trail,174262,174262,,""
Firelane 13,174276;174745;176056;176500;177305;177306,174276,,""
Elderberry Trail,174398;174402;174794;174803;174897;175748;175753;175842;176383;176389;180844,174398,,""
Site Trail (Forest Park),174491;177307;177308,174491,,""
Interlakes Trail,174642;176969;180502,174642,,""
Powell Butte Trail,174901;176011,174901,,""
Wild Cherry Trail,174937;176218,174937,,""
Firelane 13a,174974;176769,174974,,""
Terwilliger Trail - Connector,175122;177155;178710,178710,,""
Shelter Trail / Nature Loop,175351;176456;176458;176459;176489;176616;176791;176792;177041;177218;177490;177491,175351,,""
Firelane 2,175369;176386;176499,175369,,""
Cherry Trail,175606;175807;176161,175606,,""
Woods Park Trail,175612;175677;175875,175612,,""
White Pine Trail,175613;175672;175952;175956;176086,175613,,""
Wild Hawthorn Trail,175636;175894;176028;176084;176134;176192,175636,,""
Wildhorse Trail,175638;175922;175958;176032;176142;176186;176315;176320;176570,175638,,""
Zig Zag Trail,175670;176087,175670,,""
Woods Parks Trail,175680;175725;176063;176085;176321;176325,175680,,""
Oil Line Road,175710;176116,175710,,""
Art Loop Overlook,175756,175756,,""
Crystal Springs Rhododendron Gardens Trails - Connector,175975;177426,175975,,""
Walnut Trail,176066;176079;176217;176327;176328,176066,,""
Yellow Pine Trail,176154,176154,,""
Meadowland Trail,176346;176912,176346,,""
Valle Vista Trail,176411,176411,,""
Chestnut Trail,176448,176448,,""
Hayhurst Elementary School Trail,176523,176523,,""
Broadway Trail,176846;176853;176854;177302;177303;177304,176846,,""
Firelane 7a,176892,176892,,""
Powers Marine Park Trail,180659;180660,180659,,""
Warbler Trail,180795,180795,,""
